Date,AGUAS-A.SN,ANDINA-B.SN,ANTARCHILE.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CCU.SN,CENCOSUD.SN,CHILE.SN,CMPC.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,ENTEL.SN,FALABELLA.SN,GASCO.SN,PARAUCO.SN,QUINENCO.SN,RIPLEY.SN,SONDA.SN,SQM-B.SN
2008-01-01,59.882911682128906,704.0986938476562,9516.0400390625,,11.1329345703125,6094.82177734375,1498.2708740234375,1095.168212890625,,1286.1385498046875,93.9133529663086,678.8963012695312,8058.6396484375,2824.722412109375,1907.0250244140625,,400.8550720214844,310.1995544433594,304.75335693359375,361.8537292480469,5892.984375
2008-01-02,60.09042739868164,699.3073120117188,9453.978515625,4914.03466796875,11.078386306762695,5850.1015625,1479.263916015625,1072.000732421875,14.377538681030273,1284.7705078125,93.4552230834961,666.2188110351562,7966.8251953125,2752.10693359375,1884.330322265625,,400.9097900390625,306.52008056640625,304.2230529785156,356.2867736816406,5629.12548828125
2008-01-03,60.09042739868164,696.7642822265625,9458.1162109375,4899.42626953125,11.301133155822754,5805.44482421875,1462.235107421875,1051.900390625,14.303808212280273,1283.4022216796875,91.6319351196289,646.814453125,8045.0595703125,2726.69140625,1825.0706787109375,,397.4832458496094,306.52008056640625,293.33795166015625,356.2867736816406,5747.49072265625
2008-01-04,59.50191879272461,681.6071166992188,9333.9951171875,4714.81787109375,11.301133155822754,5537.5,1419.0618896484375,1002.0601196289062,14.10104751586914,1275.876708984375,87.04165649414062,630.6438598632812,7939.48046875,2613.375732421875,1741.5399169921875,,383.7768859863281,306.52008056640625,279.1036682128906,350.7198486328125,5474.30615234375
2008-01-07,59.47093963623047,660.1904907226562,9102.2978515625,4685.5986328125,10.910185813903809,5339.66796875,1371.759033203125,982.0147094726562,14.008878707885742,1281.28125,84.63196563720703,624.1759033203125,7768.80224609375,2577.795166015625,1682.5946044921875,135.03599548339844,370.51605224609375,288.8829650878906,270.72503662109375,342.3693542480469,5419.06298828125
2008-01-08,59.47093963623047,670.2139282226562,9185.876953125,4681.6162109375,10.65561580657959,5272.23583984375,1406.849853515625,996.74755859375,14.008878707885742,1286.275390625,82.46049499511719,613.7555541992188,7724.79443359375,2557.026611328125,1697.0947265625,135.03599548339844,357.892578125,288.8829650878906,265.14849853515625,334.018798828125,5320.53466796875
2008-01-09,58.85146713256836,669.8718872070312,8758.8955078125,4598.607421875,10.65561580657959,5090.92822265625,1405.3662109375,1000.8006591796875,13.828243255615234,1259.4580078125,80.69218444824219,601.5372314453125,7489.37451171875,2525.548828125,1702.1380615234375,135.03599548339844,342.657958984375,288.8829650878906,256.7139892578125,311.8343811035156,5126.0400390625
2008-01-10,58.85146713256836,697.15576171875,8940.94140625,4731.4189453125,10.364676475524902,5353.06640625,1440.2821044921875,1057.7060546875,14.21164321899414,1282.7178955078125,81.08617401123047,608.0052490234375,7528.94140625,2596.856689453125,1784.1719970703125,133.36892700195312,342.657958984375,281.25042724609375,267.9395751953125,331.86444091796875,5353.37890625
2008-01-11,58.85146713256836,711.4332885742188,9109.7470703125,4718.138671875,10.137381553649902,5413.7587890625,1418.4593505859375,1057.870361328125,14.525001525878906,1272.4564208984375,83.26679229736328,607.9408569335938,7515.27001953125,2559.677978515625,1851.86279296875,133.36892700195312,349.0108947753906,281.28076171875,262.24029541015625,325.6683654785156,5287.03466796875
2008-01-14,58.85146713256836,716.3229370117188,9102.2978515625,4715.15087890625,10.228300094604492,5372.39697265625,1418.4593505859375,1052.721923828125,14.61716365814209,1269.03564453125,82.46049499511719,588.6011962890625,7442.92431640625,2559.677978515625,1876.685791015625,122.25479125976562,339.2314453125,277.1756591796875,254.88307189941406,325.6683654785156,5385.82666015625
2008-01-15,58.85146713256836,708.9884643554688,8854.0556640625,4683.93896484375,10.046463012695312,5207.40380859375,1357.7928466796875,1015.9718017578125,14.469697952270508,1227.98876953125,80.81129455566406,569.1319580078125,7298.86328125,2523.370849609375,1859.822021484375,122.81051635742188,328.95166015625,270.6377868652344,248.0673370361328,311.7508850097656,5174.71337890625
2008-01-16,59.16120529174805,684.1494140625,8440.314453125,4681.6162109375,9.841896057128906,5080.17529296875,1357.7928466796875,1017.2862548828125,14.193211555480957,1183.5208740234375,81.5442886352539,562.7286376953125,7177.35205078125,2505.216552734375,1836.1029052734375,122.81051635742188,322.0985107421875,270.6377868652344,246.16390991210938,300.6169738769531,5266.14794921875
2008-01-17,58.85146713256836,669.8718872070312,8109.322265625,4598.607421875,9.56004810333252,4855.3896484375,1304.982666015625,993.0780639648438,13.935153007507324,1139.0537109375,76.04692077636719,549.792236328125,6987.92822265625,2396.2939453125,1812.22509765625,122.81051635742188,301.5390319824219,263.0356140136719,235.2397918701172,283.9160461425781,4926.423828125
2008-01-18,58.85146713256836,653.9808959960938,8108.49560546875,4615.20947265625,9.660059928894043,4720.51513671875,1297.1263427734375,958.5733642578125,13.865108489990234,1111.68896484375,76.87152099609375,546.55810546875,6854.37060546875,2396.2939453125,1832.162353515625,122.25479125976562,301.676025390625,262.7314758300781,234.4470977783203,283.9160461425781,4745.720703125
2008-01-21,58.44879150390625,612.7125244140625,7827.978515625,4449.1943359375,9.091821670532227,4340.80859375,1233.405029296875,890.4403686523438,13.271573066711426,1074.0625,72.63853454589844,536.7910766601562,6681.880859375,2256.401611328125,1702.1380615234375,116.70336151123047,284.4060974121094,247.8312225341797,217.91297912597656,269.9985656738281,4465.30810546875
2008-01-22,59.935569763183594,664.9820556640625,8026.57373046875,4574.037109375,9.591870307922363,4411.5244140625,1243.880126953125,967.8294677734375,13.824556350708008,1129.6815185546875,76.04692077636719,537.3538208007812,7017.35546875,2341.8330078125,1796.7010498046875,116.70336151123047,287.90118408203125,250.87205505371094,228.29562377929688,278.3489685058594,4532.5712890625
2008-01-23,59.935569763183594,655.2520141601562,7783.2919921875,4482.39794921875,9.546411514282227,4360.6337890625,1226.9892578125,977.578125,13.640228271484375,1134.1280517578125,74.21444702148438,518.9134521484375,6929.16357421875,2364.160888671875,1818.293701171875,122.25479125976562,284.4060974121094,246.31072998046875,228.25096130371094,269.9985656738281,4433.77978515625
2008-01-24,61.948909759521484,687.0828857421875,8439.486328125,4535.521484375,9.88280963897705,4590.14111328125,1309.3475341796875,1067.7288818359375,14.654029846191406,1200.6240234375,74.86497497558594,545.0963134765625,7293.3408203125,2519.26708984375,1976.6072998046875,123.36624908447266,313.87469482421875,249.3515625,239.78358459472656,289.4830627441406,4893.57763671875
2008-01-25,61.948909759521484,645.424072265625,8440.314453125,4548.80224609375,9.628239631652832,4647.68505859375,1283.1602783203125,1060.3349609375,14.68720817565918,1234.6932373046875,72.65687561035156,549.792236328125,7235.84375,2505.216552734375,1918.45166015625,127.8119888305664,308.3921813964844,249.3820343017578,234.4470977783203,289.4830627441406,4896.40283203125
